# sparlectra-measurements v1
# case: sp_case60.scf.json
# generator: Sparlectra measurement generator, seed=20260960
# noise: gaussian per-type stddev (measurementStdDevs)
type,bus,from_bus,to_bus,branch_nr,link_nr,direction,value,sigma,active,id
VmMeas,Altau_220,,,,,,1.0327244622398892,0.005,true,Vm_bus_1
PinjMeas,Altau_220,,,,,,-12.318216369204201,1.0,true,Pinj_bus_1
QinjMeas,Altau_220,,,,,,20.175019378025965,1.0,true,Qinj_bus_1
VmMeas,Neubach_220,,,,,,1.0131509852410108,0.005,true,Vm_bus_2
PinjMeas,Neubach_220,,,,,,0.5093493975817281,1.0,true,Pinj_bus_2
QinjMeas,Neubach_220,,,,,,1.669887526657831,1.0,true,Qinj_bus_2
VmMeas,Oberberg_220,,,,,,1.0145309251655354,0.005,true,Vm_bus_3
PinjMeas,Oberberg_220,,,,,,1.8066093403935035,1.0,true,Pinj_bus_3
QinjMeas,Oberberg_220,,,,,,-1.5664361528824868,1.0,true,Qinj_bus_3
VmMeas,Ostfeld_220,,,,,,1.0261407059682357,0.005,true,Vm_bus_4
PinjMeas,Ostfeld_220,,,,,,120.86485760249293,1.0,true,Pinj_bus_4
QinjMeas,Ostfeld_220,,,,,,-6.890800178078123,1.0,true,Qinj_bus_4
VmMeas,Westdorf_220,,,,,,1.0053153602953693,0.005,true,Vm_bus_5
PinjMeas,Westdorf_220,,,,,,0.4102023269863524,1.0,true,Pinj_bus_5
QinjMeas,Westdorf_220,,,,,,-0.24620103988930395,1.0,true,Qinj_bus_5
VmMeas,Nordtal_220,,,,,,1.012307223473646,0.005,true,Vm_bus_6
PinjMeas,Nordtal_220,,,,,,0.45557770425629135,1.0,true,Pinj_bus_6
QinjMeas,Nordtal_220,,,,,,-0.032622232916968474,1.0,true,Qinj_bus_6
VmMeas,Neubach_110,,,,,,1.0288254919753186,0.005,true,Vm_bus_7
PinjMeas,Neubach_110,,,,,,-10.248466586257157,1.0,true,Pinj_bus_7
QinjMeas,Neubach_110,,,,,,1.7364359871693449,1.0,true,Qinj_bus_7
VmMeas,Waldsee_110,,,,,,1.0240049828516427,0.005,true,Vm_bus_8
PinjMeas,Waldsee_110,,,,,,0.2582469900388431,1.0,true,Pinj_bus_8
QinjMeas,Waldsee_110,,,,,,0.36574492588459945,1.0,true,Qinj_bus_8
VmMeas,Steinhof_110,,,,,,1.0313833738574616,0.005,true,Vm_bus_9
PinjMeas,Steinhof_110,,,,,,0.007508866957041226,1.0,true,Pinj_bus_9
QinjMeas,Steinhof_110,,,,,,0.731458119324381,1.0,true,Qinj_bus_9
VmMeas,Lindeck_110,,,,,,1.0156046500077034,0.005,true,Vm_bus_10
PinjMeas,Lindeck_110,,,,,,0.5434369533271874,1.0,true,Pinj_bus_10
QinjMeas,Lindeck_110,,,,,,-0.9309031261227597,1.0,true,Qinj_bus_10
VmMeas,Birkkamp_110,,,,,,1.0127805259986062,0.005,true,Vm_bus_11
PinjMeas,Birkkamp_110,,,,,,10.576172956754128,1.0,true,Pinj_bus_11
QinjMeas,Birkkamp_110,,,,,,-0.13164846263616248,1.0,true,Qinj_bus_11
VmMeas,Eichheim_110,,,,,,0.9964730842691744,0.005,true,Vm_bus_12
PinjMeas,Eichheim_110,,,,,,-0.14987625632447452,1.0,true,Pinj_bus_12
QinjMeas,Eichheim_110,,,,,,-0.667267146115477,1.0,true,Qinj_bus_12
VmMeas,Falkmoor_110,,,,,,1.0085174452718069,0.005,true,Vm_bus_13
PinjMeas,Falkmoor_110,,,,,,-24.637918926133292,1.0,true,Pinj_bus_13
QinjMeas,Falkmoor_110,,,,,,-6.626748171537256,1.0,true,Qinj_bus_13
VmMeas,Westdorf_110,,,,,,1.0083875340986914,0.005,true,Vm_bus_14
PinjMeas,Westdorf_110,,,,,,-1.458425372517002,1.0,true,Pinj_bus_14
QinjMeas,Westdorf_110,,,,,,0.8206810139859358,1.0,true,Qinj_bus_14
VmMeas,Bornloh_110,,,,,,0.9738867598592178,0.005,true,Vm_bus_15
PinjMeas,Bornloh_110,,,,,,-20.421896914270746,1.0,true,Pinj_bus_15
QinjMeas,Bornloh_110,,,,,,-5.386811289229133,1.0,true,Qinj_bus_15
VmMeas,Holtried_110,,,,,,0.9896377688531145,0.005,true,Vm_bus_16
PinjMeas,Holtried_110,,,,,,0.3769995610167021,1.0,true,Pinj_bus_16
QinjMeas,Holtried_110,,,,,,0.2151473384419865,1.0,true,Qinj_bus_16
