# sparlectra-measurements v1
# baddata: row 60 value scaled by 10 for the diagnostics demo
# case: sp_case14.scf.json
# generator: Sparlectra measurement generator, seed=20260914
# noise: gaussian per-type stddev (measurementStdDevs)
type,bus,from_bus,to_bus,branch_nr,link_nr,direction,value,sigma,active,id
VmMeas,Ostheim_110,,,,,,1.0224284897177747,0.005,true,Vm_bus_1
PinjMeas,Ostheim_110,,,,,,19.214376662884952,1.0,true,Pinj_bus_1
QinjMeas,Ostheim_110,,,,,,14.81627234845958,1.0,true,Qinj_bus_1
VmMeas,Neuwiese_110,,,,,,1.0131217860249633,0.005,true,Vm_bus_2
PinjMeas,Neuwiese_110,,,,,,-0.7489732516907551,1.0,true,Pinj_bus_2
QinjMeas,Neuwiese_110,,,,,,0.402129607270588,1.0,true,Qinj_bus_2
VmMeas,Moorau_110,,,,,,0.9887458511582892,0.005,true,Vm_bus_3
PinjMeas,Moorau_110,,,,,,1.5174011192126426,1.0,true,Pinj_bus_3
QinjMeas,Moorau_110,,,,,,2.664019958274397,1.0,true,Qinj_bus_3
VmMeas,Dallwitz_110,,,,,,1.016135594540225,0.005,true,Vm_bus_4
PinjMeas,Dallwitz_110,,,,,,29.98821987815416,1.0,true,Pinj_bus_4
QinjMeas,Dallwitz_110,,,,,,6.712442288752145,1.0,true,Qinj_bus_4
VmMeas,Roggau_110,,,,,,0.9851366691725321,0.005,true,Vm_bus_5
PinjMeas,Roggau_110,,,,,,-18.519695665419533,1.0,true,Pinj_bus_5
QinjMeas,Roggau_110,,,,,,-6.050508553620737,1.0,true,Qinj_bus_5
VmMeas,Eichloh_110,,,,,,1.0074647627866988,0.005,true,Vm_bus_6
PinjMeas,Eichloh_110,,,,,,20.311579072735068,1.0,true,Pinj_bus_6
QinjMeas,Eichloh_110,,,,,,1.480282026496099,1.0,true,Qinj_bus_6
VmMeas,Wehrden_110,,,,,,0.9770328130991894,0.005,true,Vm_bus_7
PinjMeas,Wehrden_110,,,,,,1.127471429951442,1.0,true,Pinj_bus_7
QinjMeas,Wehrden_110,,,,,,0.39347023333773157,1.0,true,Qinj_bus_7
VmMeas,Blanksee_110,,,,,,0.9972719322182323,0.005,true,Vm_bus_8
PinjMeas,Blanksee_110,,,,,,-14.172423705887159,1.0,true,Pinj_bus_8
QinjMeas,Blanksee_110,,,,,,-4.0026401616097385,1.0,true,Qinj_bus_8
