"id","bus_breaker_id","v_mag_kv","v_angle_deg","v_pu","synchronous_component","nominal_v"
"S1VL1_0","S1VL1_0",224.7641748888413,2.4012685811543935,0.9989518883948502,1,225.0
"S1VL1_0","S1VL1_2",224.7641748888413,2.4012685811543935,0.9989518883948502,1,225.0
"S1VL1_0","S1VL1_4",224.7641748888413,2.4012685811543935,0.9989518883948502,1,225.0
"S1VL2_0","S1VL2_0",400.0,0.0,1.0,1,400.0
"S1VL2_0","S1VL2_1",400.0,0.0,1.0,1,400.0
"S1VL2_0","S1VL2_3",400.0,0.0,1.0,1,400.0
"S1VL2_0","S1VL2_5",400.0,0.0,1.0,1,400.0
"S1VL2_0","S1VL2_7",400.0,0.0,1.0,1,400.0
"S1VL2_0","S1VL2_9",400.0,0.0,1.0,1,400.0
"S1VL2_0","S1VL2_11",400.0,0.0,1.0,1,400.0
"S1VL2_0","S1VL2_13",400.0,0.0,1.0,1,400.0
"S1VL2_0","S1VL2_15",400.0,0.0,1.0,1,400.0
"S1VL2_0","S1VL2_17",400.0,0.0,1.0,1,400.0
"S1VL2_0","S1VL2_19",400.0,0.0,1.0,1,400.0
"S1VL2_0","S1VL2_21",400.0,0.0,1.0,1,400.0
"S2VL1_0","S2VL1_0",408.8460664639837,0.733972816091764,1.0221151661599592,0,400.0
"S2VL1_0","S2VL1_2",408.8460664639837,0.733972816091764,1.0221151661599592,0,400.0
"S2VL1_0","S2VL1_4",408.8460664639837,0.733972816091764,1.0221151661599592,0,400.0
"S2VL1_0","S2VL1_6",408.8460664639837,0.733972816091764,1.0221151661599592,0,400.0
"S3VL1_0","S3VL1_0",400.0,0.0,1.0,0,400.0
"S3VL1_0","S3VL1_2",400.0,0.0,1.0,0,400.0
"S3VL1_0","S3VL1_4",400.0,0.0,1.0,0,400.0
"S3VL1_0","S3VL1_6",400.0,0.0,1.0,0,400.0
"S3VL1_0","S3VL1_8",400.0,0.0,1.0,0,400.0
"S3VL1_0","S3VL1_10",400.0,0.0,1.0,0,400.0
"S4VL1_0","S4VL1_0",400.0,-1.1259436382656443,1.0,0,400.0
"S4VL1_0","S4VL1_2",400.0,-1.1259436382656443,1.0,0,400.0
"S4VL1_0","S4VL1_4",400.0,-1.1259436382656443,1.0,0,400.0
"S4VL1_0","S4VL1_6",400.0,-1.1259436382656443,1.0,0,400.0
