"id","position","side","rho","alpha","r","x","g","b"
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",1,"",0.9889363528682975,8.530765609948135,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",2,"",0.9906788398452958,7.829076510059608,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",3,"",0.9922778767136677,7.125016348901798,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",4,"",0.9937313161588018,6.418786730238786,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",5,"",0.9950371902099893,5.710593137499643,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",6,"",0.996193717496113,5.000644597558434,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",7,"",0.9971993098884564,4.289153328819019,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",8,"",0.9980525784828885,3.576334374997351,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",9,"",0.9987523388778446,2.862405226111748,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",10,"",0.9992976157091807,2.1475854282985036,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",11,"",0.9996876464081226,1.4320961841646465,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",12,"",0.9999218841540815,0.7161599454704085,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",13,"",1.0,-0.0,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",14,"",0.9999218841540815,-0.7161599454704085,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",15,"",0.9996876464081226,-1.4320961841646465,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",16,"",0.9992976157091807,-2.1475854282985036,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",17,"",0.9987523388778446,-2.862405226111748,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",18,"",0.9980525784828885,-3.576334374997351,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",19,"",0.9971993098884564,-4.289153328819019,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",20,"",0.996193717496113,-5.000644597558434,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",21,"",0.9950371902099893,-5.710593137499643,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",22,"",0.9937313161588018,-6.418786730238786,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",23,"",0.9922778767136677,-7.125016348901798,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",24,"",0.9906788398452958,-7.829076510059608,0.0,0.0,0.0,0.0
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0",25,"",0.9889363528682975,-8.530765609948135,0.0,0.0,0.0,0.0
