"id","position","side","rho","r","x","g","b"
"e482b89a-fa84-4ea9-8e70-a83d44790957",1,"",0.872,-23.961600000000004,-23.961600000000004,31.512498947900024,31.512498947900024
"e482b89a-fa84-4ea9-8e70-a83d44790957",2,"",0.8799999999999999,-22.560000000000002,-22.560000000000002,29.132231404958688,29.132231404958688
"e482b89a-fa84-4ea9-8e70-a83d44790957",3,"",0.888,-21.145599999999998,-21.145599999999998,26.816005194383564,26.816005194383564
"e482b89a-fa84-4ea9-8e70-a83d44790957",4,"",0.896,-19.718399999999992,-19.718399999999992,24.56154336734693,24.56154336734693
"e482b89a-fa84-4ea9-8e70-a83d44790957",5,"",0.904,-18.278399999999994,-18.278399999999994,22.366669277155605,22.366669277155605
"e482b89a-fa84-4ea9-8e70-a83d44790957",6,"",0.9120000000000001,-16.825599999999994,-16.825599999999994,20.22930132348415,20.22930132348415
"e482b89a-fa84-4ea9-8e70-a83d44790957",7,"",0.92,-15.359999999999996,-15.359999999999996,18.14744801512287,18.14744801512287
"e482b89a-fa84-4ea9-8e70-a83d44790957",8,"",0.9279999999999999,-13.881600000000017,-13.881600000000017,16.119203329369824,16.119203329369824
"e482b89a-fa84-4ea9-8e70-a83d44790957",9,"",0.936,-12.390400000000012,-12.390400000000012,14.142742347870563,14.142742347870563
"e482b89a-fa84-4ea9-8e70-a83d44790957",10,"",0.944,-10.886400000000007,-10.886400000000007,12.216317150244183,12.216317150244183
"e482b89a-fa84-4ea9-8e70-a83d44790957",11,"",0.952,-9.36960000000001,-9.36960000000001,10.338252948238136,10.338252948238136
"e482b89a-fa84-4ea9-8e70-a83d44790957",12,"",0.96,-7.8400000000000025,-7.8400000000000025,8.506944444444443,8.506944444444443
"e482b89a-fa84-4ea9-8e70-a83d44790957",13,"",0.9679999999999999,-6.297600000000003,-6.297600000000003,6.720852400792299,6.720852400792299
"e482b89a-fa84-4ea9-8e70-a83d44790957",14,"",0.9760000000000001,-4.742400000000002,-4.742400000000002,4.978500403117447,4.978500403117447
"e482b89a-fa84-4ea9-8e70-a83d44790957",15,"",0.9839999999999999,-3.1743999999999994,-3.1743999999999994,3.278471809108341,3.278471809108341
"e482b89a-fa84-4ea9-8e70-a83d44790957",16,"",0.992,-1.5936000000000061,-1.5936000000000061,1.6194068678460072,1.6194068678460072
"e482b89a-fa84-4ea9-8e70-a83d44790957",17,"",1.0,0.0,0.0,0.0,0.0
"e482b89a-fa84-4ea9-8e70-a83d44790957",18,"",1.008,1.6064000000000078,1.6064000000000078,-1.5810027714789676,-1.5810027714789676
"e482b89a-fa84-4ea9-8e70-a83d44790957",19,"",1.016,3.2256000000000062,3.2256000000000062,-3.1248062496124995,-3.1248062496124995
"e482b89a-fa84-4ea9-8e70-a83d44790957",20,"",1.024,4.857599999999995,4.857599999999995,-4.632568359375,-4.632568359375
"e482b89a-fa84-4ea9-8e70-a83d44790957",21,"",1.032,6.502399999999997,6.502399999999997,-6.105402319572139,-6.105402319572139
"e482b89a-fa84-4ea9-8e70-a83d44790957",22,"",1.04,8.16000000000001,8.16000000000001,-7.544378698224863,-7.544378698224863
"e482b89a-fa84-4ea9-8e70-a83d44790957",23,"",1.048,9.830400000000017,9.830400000000017,-8.950527358545557,-8.950527358545557
"e482b89a-fa84-4ea9-8e70-a83d44790957",24,"",1.056,11.513600000000013,11.513600000000013,-10.324839302112043,-10.324839302112043
"e482b89a-fa84-4ea9-8e70-a83d44790957",25,"",1.064,13.209600000000021,13.209600000000021,-11.66826841539942,-11.66826841539942
"e482b89a-fa84-4ea9-8e70-a83d44790957",26,"",1.072,14.91840000000002,14.91840000000002,-12.981733125417705,-12.981733125417705
"e482b89a-fa84-4ea9-8e70-a83d44790957",27,"",1.08,16.64000000000001,16.64000000000001,-14.266117969821678,-14.266117969821678
"e482b89a-fa84-4ea9-8e70-a83d44790957",28,"",1.088,18.374400000000012,18.374400000000012,-15.5222750865052,-15.5222750865052
"e482b89a-fa84-4ea9-8e70-a83d44790957",29,"",1.096,20.12160000000003,20.12160000000003,-16.751025627364292,-16.751025627364292
"e482b89a-fa84-4ea9-8e70-a83d44790957",30,"",1.104,21.881600000000013,21.881600000000013,-17.953161100609126,-17.953161100609126
"e482b89a-fa84-4ea9-8e70-a83d44790957",31,"",1.112,23.65440000000003,23.65440000000003,-19.129444645722295,-19.129444645722295
"e482b89a-fa84-4ea9-8e70-a83d44790957",32,"",1.12,25.44000000000002,25.44000000000002,-20.280612244897966,-20.280612244897966
"e482b89a-fa84-4ea9-8e70-a83d44790957",33,"",1.1280000000000001,27.23840000000002,27.23840000000002,-21.407373874553603,-21.407373874553603
"b94318f6-6d24-4f56-96b9-df2531ad6543",1,"",1.1764705882352942,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",2,"",1.1594202898550725,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",3,"",1.1428571428571428,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",4,"",1.1267605633802817,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",5,"",1.1111111111111112,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",6,"",1.095890410958904,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",7,"",1.081081081081081,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",8,"",1.0666666666666667,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",9,"",1.0526315789473684,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",10,"",1.0389610389610389,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",11,"",1.0256410256410258,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",12,"",1.0126582278481011,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",13,"",1.0,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",14,"",0.9876543209876544,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",15,"",0.9756097560975611,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",16,"",0.9638554216867469,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",17,"",0.9523809523809523,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",18,"",0.9411764705882353,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",19,"",0.9302325581395349,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",20,"",0.9195402298850576,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",21,"",0.9090909090909091,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",22,"",0.898876404494382,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",23,"",0.8888888888888888,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",24,"",0.8791208791208791,0.0,0.0,0.0,0.0
"b94318f6-6d24-4f56-96b9-df2531ad6543",25,"",0.8695652173913044,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",1,"TWO",1.1111111111111112,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",2,"TWO",1.103448275862069,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",3,"TWO",1.095890410958904,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",4,"TWO",1.08843537414966,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",5,"TWO",1.081081081081081,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",6,"TWO",1.0738255033557047,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",7,"TWO",1.0666666666666667,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",8,"TWO",1.0596026490066226,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",9,"TWO",1.0526315789473684,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",10,"TWO",1.0457516339869282,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",11,"TWO",1.0389610389610389,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",12,"TWO",1.032258064516129,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",13,"TWO",1.0256410256410258,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",14,"TWO",1.019108280254777,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",15,"TWO",1.0126582278481011,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",16,"TWO",1.0062893081761006,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",17,"TWO",1.0,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",18,"TWO",0.9937888198757763,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",19,"TWO",0.9876543209876544,0.0,0.0,0.0,0.0
"84ed55f4-61f5-4d9d-8755-bba7b877a246",20,"TWO",0.9815950920245399,0.0,0.0,0.0,0.0
